#(NFHS-5 contemporary human capital proxies 2019–21

State,Mean_Years_Schooling,Women_10plus_Yrs_Schooling_pct,Households_Internet_pct
Goa,9.6,68.3,68.8
Gujarat,8.2,47.8,52.4
Kerala,10.7,71.9,69.8
Punjab,8.1,52.8,58.3
Haryana,8.0,48.4,62.1
Uttarakhand,8.8,55.8,55.2
Maharashtra,8.6,55.3,58.9
Himachal Pradesh,9.3,62.6,65.4
Tripura,8.4,42.1,38.7
Karnataka,8.0,49.2,54.6
Tamil Nadu,8.6,55.7,59.3
Telangana,7.8,46.9,56.8
Andhra Pradesh,7.1,38.6,42.3
Uttar Pradesh,7.2,42.3,44.1
West Bengal,7.8,46.8,42.9
Assam,7.8,45.2,38.5
Odisha,7.6,42.8,39.2
Bihar,6.5,33.8,34.7
Rajasthan,6.9,36.2,48.3
Madhya Pradesh,7.0,38.9,41.6
Jharkhand,6.8,37.4,36.8
Chhattisgarh,7.3,40.1,37.9
Sikkim,8.9,58.7,62.5
Meghalaya,7.5,45.6,35.4
Nagaland,8.7,52.3,42.1
Mizoram,9.4,65.8,48.9
Arunachal Pradesh,7.2,40.8,38.2
