#(Original ranked SECI data with parameters and scores)

Rank,States/UTs,DISCOM's Performance,Access, affordability & reliability,Clean Energy Initiatives,Energy Efficiency,Env Sustainability,New Initiatives,SECI score
1,Goa,63.4,59.6,62.4,16.6,43.7,12.4,51.4
2,Gujarat,72.7,52.4,39.2,40.1,35.1,5.5,50.1
3,Kerala,64.4,67.3,21.5,58.0,46.9,7.7,49.1
4,Punjab,77.1,46.8,26.1,35.1,37.0,2.3,48.6
5,Haryana,69.8,53.6,42.9,11.7,33.4,6.9,47.9
6,Uttarakhand,61.9,55.3,18.5,50.5,48.7,14.7,46.5
7,Maharashtra,57.7,51.2,34.0,75.7,36.2,10.4,46.0
8,Himachal Pradesh,57.0,56.3,14.3,20.1,52.1,38.1,45.4
9,Tripura,57.3,33.1,22.9,31.7,39.6,58.7,45.0
10,Karnataka,56.8,45.5,27.0,57.2,41.7,14.5,43.8
11,Tamil Nadu,57.3,46.3,21.7,85.4,39.2,4.0,43.4
12,Assam,67.3,38.3,4.3,39.0,39.9,17.6,42.6
13,Telangana,55.1,60.4,18.0,64.7,34.6,0.4,41.9
14,Andhra Pradesh,65.1,42.6,16.9,40.0,35.0,0.0,41.6
15,Uttar Pradesh,59.9,37.8,12.6,42.0,30.9,27.4,41.0
16,West Bengal,55.3,52.0,8.5,27.7,40.9,9.0,38.9
17,Bihar,61.3,45.0,4.9,22.8,33.7,7.6,38.3
18,Odisha,59.0,57.4,4.8,21.8,22.6,0.9,37.1
19,Manipur,57.6,34.1,4.7,22.1,41.3,7.3,36.0
20,Mizoram,51.7,39.3,18.9,29.7,38.2,1.1,35.9
21,Rajasthan,49.2,42.9,15.5,44.0,31.4,4.8,35.4
22,Jharkhand,58.3,46.5,2.9,17.2,19.0,9.3,35.2
23,Sikkim,43.2,37.6,13.8,33.3,52.2,0.6,33.3
24,Madhya Pradesh,53.7,42.7,6.2,8.3,24.1,3.3,32.6
25,Chhattisgarh,58.4,45.4,2.1,0.0,5.8,4.2,31.7
26,Meghalaya,47.9,30.9,1.9,4.0,39.8,2.8,29.4
27,Nagaland,35.9,32.9,12.2,26.4,40.0,3.4,27.9
28,Arunachal Pradesh,31.1,43.2,5.8,19.8,49.0,1.1,27.0
