#(Updated socio-economic variables aligned ~2019-2022)								
State	Per_Capita_Income_thou	Literacy_pct	Poverty_pct	Industrial_Share_pct	Forest_pct
Goa	431	92	3.8	25	60.2
Gujarat	220	82	12.7	35	9.7
Kerala	223	97	0.6	28	55
Punjab	164	82	6.2	25	3.7
Haryana	236	80	7.1	30	3.6
Uttarakhand	182	88	10.5	28	45.4
Maharashtra	190	85	14	30	16.7
Himachal Pradesh	180	90	7.6	25	27
Tripura	110	90	12.4	20	73.8
Karnataka	220	82	10	28	20
Tamil Nadu	220	85	4.9	32	20.3
Telangana	240	75	8	26	21
Andhra Pradesh	170	70	12.3	24	23
Uttar Pradesh	70	75	22.9	22	6.1
West Bengal	130	82	10	22	16.9
Assam	100	85	20	25	35.3
Odisha	120	80	25	25	33.5
Bihar	44	68	33.8	20	7.8
Rajasthan	120	75	15	25	9.6
Madhya Pradesh	110	75	22	25	25.1
Jharkhand	80	75	28.8	30	29.6
Chhattisgarh	110	78	25	35	44.2
Sikkim	413	85	3	20	47.1
Meghalaya	90	80	20	18	76
Nagaland	100	85	15	15	75.3
Mizoram	150	95	5	15	84.5
Arunachal Pradesh	120	75	18	20	79.3
